name,sex
Alabaş,M
Alabegim,F
Alabegüm,F
Alabezek,F
Alaca,M
Alacan,M
Aladoğan,M
Alageyik,F
Alagöz,F
Alagün,F
Alahan,M
Alakoç,M
Alakurt,M
Alakuş,U
Alakız,F
Alan,M
Alanalp,M
Alanay,M
Alanbay,M
Alaner,M
Alangoya,F
Alangu,M
Alanur,F
Alapınar,F
Alat,M
Alatan,M
Alatay,M
Alataş,M
Alay,M
Alaybey,M
Alayunt,F
Alaz,U
Alaçam,M
Alaçuk,M
Albayrak,M
Albeni,F
Albora,M
Alburak,M
Alcan,M
Aldemir,M
Aldeniz,F
Aldoğan,M
Alem,M
Alemdar,M
Alemşah,F
Alev,F
Alevnaz,F
Algan,M
Algu,M
Algun,M
Algur,M
Algül,F
Algün,U
Algın,M
Algış,F
Alhan,M
Ali,M
Alican,M
Alihan,M
Alika,F
Alim,M
Alime,F
Alipek,F
Alisa,F
Alise,F
Aliyar,M
Aliye,F
Aliş,M
Alişah,M
Alişan,M
Alkan,U
Alkaş,M
Alkor,U
Alkoç,M
Alkun,M
Alköz,F
Alkılıç,M
Alkım,U
Alkın,M
Alkış,M
Allahverdi,M
Allı,F
Allıkız,F
Almabanu,F
Almagül,F
Almila,F
Almile,F
Almula,F
Almıla,U
Alnar,M
Alnıak,M
Alnıaçık,M
Alp,M
Alpagu,M
Alpak,M
Alpar,M
Alparslan,M
Alpartun,M
Alpaslan,M
Alpat,M
Alpata,M
Alpay,M
Alpaydın,M
Alpayer,M
Alpağan,M
Alpbilge,M
Alpdemir,M
Alpdoğan,M
Alper,M
Alperen,M
Alpergin,M
Alpermiş,M
Alpertunga,M
Alpgiray,M
Alphan,M
Alpkan,M
Alpkanat,M
Alpkartal,M
Alpkutlu,M
Alpkülük,M
Alpkın,M
Alpman,M
Alpnur,F
Alpoğan,M
Alpsoy,M
Alpsü,M
Alptekin,M
Alptoğan,M
Alptuğ,M
Alpyürek,M
Alpyürük,M
Alpçetin,M
Alsan,U
Alsancak,M
Alsevin,F
Alsoy,U
Alsu,F
Altan,U
Altaner,M
Altav,M
Altay,M
Altaç,U
Altaş,M
Altemür,M
Alten,M
Altop,M
Altoğan,M
Altun,M
Altuna,M
Altunay,M
Altunbaş,M
Altuncan,F
Altuner,M
Altunhan,M
Altuntaş,M
Altunç,M
